317.34,299.69,50
300.8,-127.29,50
118.23,-51.286,50
425.92,-21.096,50
355.03,158.37,50
358.24,190.92,50
122.19,-239.87,50
401.15,-193.13,50
427.04,-84.219,50
444.54,-265.98,50
400.63,13.131,50
374.95,-98.491,50
279.68,-194.6,50
162.16,-174.63,50
239.51,243.09,50
146.88,105.23,50
110.81,-18.919,50
428.7,247.28,50
205.46,-237.59,50
203.44,147.33,50
216.53,141.76,50
263.47,37.117,50
326.87,-189.48,50
108.83,58.327,50
394.77,-120.04,50
295.66,-219.53,50
398.93,-172.44,50
221.76,236.97,50
256.11,-257.13,50
118.98,-154.51,50
161.99,-267.75,50
331.98,-34.967,50
215.79,-292.03,50
414.47,238.31,50
141.35,-182.01,50
445.95,-243.98,50
288.99,-115.58,50
347.42,-26.365,50
495.63,-67.037,50
642.79,31.067,50
620.35,-162.63,50
761.78,85.164,50
729.84,-9.3118,50
707.29,-208.89,50
468.91,169.16,50
476.44,-239.64,50
481.9,-123.56,50
729.62,-157.58,50
780.11,18.523,50
689.62,-245.1,50
497.1,-56.811,50
703.23,-237.09,50
489.51,-232.63,50
492.01,170.66,50
674.61,-125.06,50
565.76,62.12,50
679.18,278.65,50
712.45,-40.509,50
654.53,116.85,50
709.27,154.86,50
532.95,-40.415,50
707.5,93.299,50
789.74,-234.15,50
753.56,260.26,50
481.1,-187.52,50
578.89,-140.29,50
579.85,178.7,50
690.07,-7.4377,50
659.68,161.37,50
726.49,-62.396,50
579.31,-136.24,50
522.9,-277.66,50
481.25,103.98,50
720.4,-42.261,50
522.78,-28.956,50
